"KeyCode","KeyDown","KeyUp"
78, 1460212218725, 1460212218813
73, 1460212219037, 1460212219172
83, 1460212219148, 1460212219264
32, 1460212219382, 1460212219466
78, 1460212219550, 1460212219696
65, 1460212219659, 1460212219812
70, 1460212219764, 1460212219878
8, 1460212220083, 1460212220160
8, 1460212220263, 1460212220352
8, 1460212220446, 1460212220533
8, 1460212220654, 1460212220704
85, 1460212221308, 1460212221448
73, 1460212221382, 1460212221512
83, 1460212221438, 1460212221538
32, 1460212221647, 1460212221735
78, 1460212221810, 1460212221931
65, 1460212221920, 1460212222054
70, 1460212222009, 1460212222106
89, 1460212223034, 1460212223124
32, 1460212223196, 1460212223290
173, 1460212223607, 1460212223750
32, 1460212223694, 1460212223834
16, 1460212223808, 1460212223988
84, 1460212223939, 1460212224025
72, 1460212224059, 1460212224135
65, 1460212224124, 1460212224251
78, 1460212224269, 1460212224357
72, 1460212224458, 1460212224625
32, 1460212224562, 1460212224683
16, 1460212224599, 1460212224764
